2.00 0.00 76 2021-03-26-12:13:58
                        END
0.00  0.00 79 2021-03-27-18:07:29
d1:45:b5:b8:74:ba -95 b | -95-83-81-79-78-77-78-80-76-77-79
12:3b:6a:1a:93:a7 -98 b | -98-97-94
c7:b3:82:c6:c6:05 -78 b | -78-75-70-71-70-72-73-78-77-75-73-73
12:3b:6a:1a:92:c0 -84 b | -84-84-83-83-89-90-91
c0:16:7b:b9:9d:2e -76 b | -76-76-74-74-75-74-73-74-89-90-91
0a:69:6c:ea:fa:19 -81 w | -81-81-81
06:69:6c:eb:03:6d -65 w | -65-65-65
06:74:9c:23:fd:f8 -75 w | -75-75-75
06:74:9c:23:fd:f9 -79 w | -79-79-79
06:69:6c:c3:d6:94 -60 w | -60-60-60
1a:74:9c:24:f6:6f -75 w | -75-75-75
06:74:9c:25:1d:2c -79 w | -79-79-79
0a:74:9c:23:fb:35 -80 w | -80-80-80
0a:69:6c:c3:d6:94 -60 w | -60-60-60
1a:69:6c:eb:05:7d -80 w | -80-80-80
1a:69:6c:eb:09:f7 -80 w | -80-80-80
06:74:9c:25:03:be -83 w | -83-83-83
1a:69:6c:be:95:72 -73 w | -73-73-73
0a:69:6c:c1:2c:f5 -81 w | -81-81-81
1a:69:6c:ea:f9:53 -82 w | -82-82-82
06:69:6c:eb:0b:2f -72 w | -72-72-72
1a:74:9c:23:fd:b0 -39 w | -39-39-39
06:69:6c:ea:f9:54 -86 w | -86-86-86
0a:69:6c:eb:09:f7 -79 w | -79-79-79
1a:69:6c:bc:f6:fa -84 w | -84-84-84
0a:69:6c:ea:f9:4e -81 w | -81-81-81
0a:69:6c:eb:0b:2f -75 w | -75-75-75
06:69:6c:bc:f8:fa -76 w | -76-76-76
06:69:6c:c3:d9:24 -57 w | -57-57-57
0a:69:6c:bc:f8:fa -76 w | -76-76-76
1.00  0.00 50 2021-03-27-17:53:30
d1:45:b5:b8:74:ba -78 b | -78-78-79-79-78-79-79-78-78-78-78
12:3b:6a:1a:93:a7 -98 b | -98-98-98-96-96-96
c7:b3:82:c6:c6:05 -74 b | -74-75-76-75-75-75-75-75-75-79-77
12:3b:6a:1a:92:c0 -96 b | -96-100-94-94
c0:16:7b:b9:9d:2e -77 b | -77-77-78-77-76-76-76
06:69:6c:eb:0b:30 -81 w | -81-81
1a:69:6c:c3:d9:25 -82 w | -82-82
1a:74:9c:25:01:7f -84 w | -84-84
1a:69:6c:c3:d9:24 -65 w | -65-65
1a:69:6c:c3:d6:95 -82 w | -82-82
0a:74:9c:23:fd:b0 -44 w | -44-44
0a:69:6c:eb:0b:2f -76 w | -76-76
1a:69:6c:eb:09:a4 -82 w | -82-82
1a:69:6c:eb:03:6d -57 w | -57-57
06:69:6c:eb:03:6d -57 w | -57-57
06:74:9c:23:fd:b0 -43 w | -43-43
06:74:9c:23:fd:b1 -31 w | -31-31
1a:74:9c:25:03:bf -82 w | -82-82
06:69:6c:c3:d9:24 -67 w | -67-67
06:69:6c:bc:f6:e2 -74 w | -74-74
1a:74:9c:23:fb:34 -80 w | -80-80
d8:24:bd:76:98:3f -48 w | -48-48
1a:69:6c:eb:07:09 -68 w | -68-68
0a:74:9c:25:1d:2c -81 w | -81-81
1a:69:6c:eb:0a:ed -82 w | -82-82
1a:69:6c:ea:f9:89 -85 w | -85-85
1a:69:6c:ea:f9:84 -77 w | -77-77
1a:74:9c:24:f6:6f -83 w | -83-83
